_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
83.6780833,-5.4771111,1597,05 34 42.74,-05 28 37.6,11.68,0.02,10.8,0.03,10.44,0.02,9.94,0.01,9.73,0.01,9.35,0.01,8.66,0.01,5.7,0.03,0.18,-1.34,D,2M,Simbad
83.5998333,-5.47625,1598,05 34 23.96,-05 28 34.5,14.02,0.03,13.35,0.04,12.99,0.03,12.48,0.01,12.17,0.01,11.85,0.03,11.03,0.05,,,0.0,-1.18,D,2M,Simbad
83.9095417,-5.47625,1599,05 35 38.29,-05 28 34.5,,,,,11.67,0.05,10.97,0.01,10.66,0.01,10.4,0.02,9.52,0.02,,,,-1.2,D,2M,Simbad
83.9600833,-5.4762222,1600,05 35 50.42,-05 28 34.4,8.27,0.02,7.24,0.05,6.22,0.02,5.62,0.01,5.03,0.01,4.56,0.01,3.65,0.01,1.43,0.01,0.0,-0.61,D,2M,Simbad
83.846625,-5.4761667,1601,05 35 23.19,-05 28 34.2,13.78,0.03,13.2,0.04,12.78,0.03,12.13,0.01,11.83,0.02,,,,,,,0.0,,D,2M,Simbad
83.5754167,-5.476,1602,05 34 18.10,-05 28 33.6,12.98,0.02,11.86,0.03,11.33,0.02,10.81,0.01,10.43,0.01,10.09,0.02,9.29,0.05,5.8,0.03,0.37,-1.11,D,2M,Simbad
83.8177083,-5.4759722,1603,05 35 16.25,-05 28 33.5,13.1,0.03,11.63,0.03,10.87,0.02,9.83,0.01,9.42,0.01,8.98,0.03,,,,,0.65,,D,2M,Simbad
83.9087917,-5.4759167,1604,05 35 38.11,-05 28 33.3,,,,,12.54,0.04,10.85,0.01,10.45,0.01,10.18,0.02,9.7,0.03,,,,-1.54,D,2M,Simbad
83.6116667,-5.4755278,1605,05 34 26.80,-05 28 31.9,12.45,0.02,11.61,0.03,11.42,0.02,11.28,0.01,11.23,0.01,11.19,0.02,10.87,0.08,5.31,0.02,0.22,-2.38,D,2M,Simbad
83.8770417,-5.4751667,1606,05 35 30.49,-05 28 30.6,12.27,0.03,11.35,0.03,10.98,0.02,10.43,0.01,10.27,0.01,9.72,0.02,8.45,0.03,,,0.23,-0.52,D,2M,Simbad
