angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
1.410115,65.897083,25.050556,44,042335.3+250302,M,FU Tau,,8.4,0.05,,7.92,0.05,,7.36,0.05,,6.71,0.05,,4.6,0.04,,2.39,0.22,>,-1.56,,yes,yes,yes,yes,yes,i,1,FU Tau,A+,yso,class II,II,M5e,-88.4,1.9,-0.7,,0.18,new member,"b,f,k,l",65.8971,25.0506,149629483705467008,65.89749725526,25.05066819065,126.40818800,125.41345200,127.44729600,126.35557600,125.15067300,127.63218700,10012
0.954296,65.95875,26.668333,46,042350.1+264006,w,FS 116,,10.69,0.05,,10.58,0.05,,10.47,0.06,,10.16,0.06,>,9.96,,>,1.14,,>,-1.04,,,,,yes,no,,1,FS 116,C,,star,III,G6-K2 w/Av,1.6,8.2,-0.6,<,0.0011,needs add'l followup,"b,o",65.9587,26.6683,152082803383627904,65.95884101694,26.66858529597,1356.58118000,1183.92883000,1553.72778000,1241.65222000,1100.11133000,1506.35266000,10033
0.975124,65.983333,24.451389,47,042356.0+242705,w,HD 283663,,9.42,0.05,,9.39,0.05,,9.34,0.05,,9.32,0.05,,8.3,0.09,>,1.09,,>,-0.71,,,yes,yes,no,no,,1,HD 283663,B,yso,star,III,A1,6.0,1.6,0.3,,1.2E-4,needs add'l followup,"b,n",65.9833,24.4514,149319318347334272,65.98363055273,24.45138806647,263.41366600,262.22979700,264.79589800,263.13650500,261.88845800,264.49368300,10013
0.246466,65.994167,24.795,48,042358.6+244742,w,,,10.91,0.05,,10.88,0.05,,10.86,0.06,,10.24,0.06,>,9.92,,>,1.28,,>,0.82,,,,,yes,no,,1,,B-,,star,III,K2,2.5,0.0,-1.0,,0.0052,needs add'l followup,b,65.9942,24.795,149609623776702464,65.99419447906,24.79506375635,1497.16333000,1033.29846000,2322.74170000,1106.40320000,843.00769000,1421.35852000,10033
0.392718,66.087083,26.514167,49,042420.9+263051,M,J04242090+2630511,,11.83,0.05,,11.45,0.05,,11.0,0.06,,10.4,0.06,,7.46,0.06,>,1.13,,>,-3.45,,,yes,no,yes-faint,yes,i,1,2MASS J04242090+2630511,A+,yso,class II,II,M6.5,,0.3,-1.9,,0.12,new member,"f,l",66.0871,26.5142,152029992465874560,66.08712011529,26.51406309032,127.48328400,125.68151100,129.63200400,127.27455900,125.18732500,129.72787500,10022
0.353915,66.096667,26.835556,50,042423.2+265008,p,,,9.46,0.05,,9.4,0.05,,9.32,0.05,,9.21,0.05,,7.87,0.07,>,0.82,,>,-0.57,,,yes,yes,no,no,,1,,A,yso,star,III,M3,-4.7,1.3,-0.7,,0.0019,"possible,new member","b,k,l",66.0967,26.8356,152109054223716480,66.09677518406,26.83557460507,152.49768100,151.67460600,153.44932600,152.45407100,151.37948600,153.49386600,10033
0.327743,66.314583,28.490833,51,042515.5+282927,M,,,9.89,0.05,,9.79,0.05,,9.71,0.05,,9.71,0.05,,9.31,0.2,>,0.81,,>,-0.24,,,yes,no,no,no,,1,,A+,yso,star,III,M6e,-23.5,0.0,-1.1,<,1.9E-4,new member,"b,k,l",66.3146,28.4908,152917298349085824,66.31467674263,28.49087173184,138.02459700,136.43064900,139.70997600,137.41958600,135.62068200,138.79151900,10022
1.361217,66.3275,25.926389,52,042518.6+255535,w,,<,6.62,,,6.61,0.05,,6.39,0.05,,6.24,0.05,,5.62,0.04,>,1.05,,>,0.28,,,yes,yes,no,,h,1,,B,,,III,M5,0.0,3.7,0.5,<,1.3E-4,needs add'l followup,"b,e,k",66.3275,25.9264,151243356318466816,66.32776085955,25.92668553298,2576.77808000,2326.57739000,2985.20288000,2624.94531000,2388.37256000,2924.93213000,10022
1.208712,66.329583,23.787778,53,042519.1+234716,w,HD 27923,,7.64,0.05,,7.63,0.05,,7.64,0.05,,7.65,0.05,,7.01,0.05,>,1.03,,>,-1.61,,,no,yes,no,no,,1,HD 27923,B-,yso,star,III,B9,8.6,0.1,1.2,,4.0E-5,needs add'l followup,"b,m,n",66.3296,23.7878,149222458245146112,66.32988097182,23.78797392899,211.21752900,208.61085500,213.22343400,211.54943800,208.60031100,214.37767000,10022
0.907453,66.495,27.616944,54,042558.8+273701,w,HD 283637,,9.13,0.05,,9.11,0.05,,9.04,0.05,,9.06,0.05,,8.43,0.1,>,1.01,,>,-2.68,,,no,yes,no,no,,1,HD 283637,B-,yso,star,III,B9,7.0,2.1,0.6,,3.5E-5,needs add'l followup,"b,n",66.495,27.6169,152266078227690752,66.49527043908,27.61702221952,422.11346400,418.69992100,424.86483800,422.49316400,418.71807900,425.51153600,10033
