angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.310478,85.7668333,-9.8668889,67,05 43 04.04,-09 52 00.8,15.88,0.06,14.93,0.07,14.52,0.08,13.72,0.01,13.34,0.01,12.95,0.03,12.29,0.03,,,0.25,-1.2,D,2M,Simbad,3011914467077993472,85.76689613621,-9.86694894630,1340.83606000,807.72357200,2223.17188000,2136.78979000,1759.17834000,2698.62158000,10033
0.106211,85.7503333,-9.8526389,68,05 43 00.08,-09 51 09.5,14.35,0.03,13.13,0.03,12.46,0.03,11.44,0.01,11.05,0.01,10.62,0.01,10.04,0.01,6.26,0.02,0.41,-1.23,D,2M,Simbad,3011914540093059968,85.75031700090,-9.85266364978,541.84576400,481.36752300,622.84588600,522.21850600,453.70443700,610.52502400,10033
0.395372,85.7376667,-9.8474167,70,05 42 57.04,-09 50 50.7,13.52,0.03,12.06,0.03,11.16,0.02,9.99,0.01,9.6,0.01,9.19,0.01,8.38,0.02,4.41,0.01,0.54,-1.0,D,2M,Simbad,3011915291711598464,85.73774441696,-9.84749542985,487.23223900,457.78646900,516.49719200,467.28329500,443.35806300,496.12857100,10033
0.344328,85.70375,-9.8366667,71,05 42 48.90,-09 50 12.0,10.78,0.03,9.59,0.03,8.73,0.02,7.76,0.01,7.27,0.01,6.83,0.01,6.29,0.01,4.24,0.01,0.23,-1.15,D,2M,Simbad,3011909695369951616,85.70379623387,-9.83675080180,435.53039600,432.08676100,438.32843000,435.98477200,432.78024300,439.18432600,10033
0.323530,85.491625,-9.8308333,72,05 41 57.99,-09 49 51.0,12.33,0.02,11.49,0.02,11.23,0.02,11.08,0.01,11.03,0.01,10.89,0.01,11.0,0.01,7.42,0.04,0.2,-2.71,D,2M,Simbad,3012099601644059264,85.49167866462,-9.83090596769,426.87661700,411.55361900,446.61395300,430.12786900,414.68566900,451.32714800,10033
0.294124,85.6920417,-9.8284722,74,05 42 46.09,-09 49 42.5,16.35,0.1,14.74,0.05,13.68,0.05,12.32,0.01,11.86,0.01,11.42,0.01,10.86,0.01,7.39,0.03,0.6,-1.16,D,2M,Simbad,3011909759793834752,85.69209818757,-9.82853200980,1600.96680000,975.70123300,2425.89209000,1259.94214000,905.60357700,1557.30127000,10033
0.339366,85.69875,-9.7894444,78,05 42 47.70,-09 47 22.0,10.82,0.03,9.81,0.03,9.23,0.03,8.87,0.01,8.75,0.01,8.19,0.09,,,4.38,0.02,0.2,,D,2M,Simbad,3011918697621401088,85.69873416129,-9.78953736710,397.46731600,388.84735100,404.90576200,397.18725600,389.52322400,405.64276100,10033
0.195561,85.4099167,-9.7779167,80,05 41 38.38,-09 46 40.5,15.03,0.05,13.47,0.03,12.33,0.03,11.09,0.01,10.44,0.01,9.87,0.01,9.35,0.01,7.03,0.03,0.5,-0.84,D,2M,Simbad,3012100941673855872,85.40993876395,-9.77796648106,464.05792200,427.39404300,514.64483600,473.15203900,430.81564300,511.03479000,10033
0.075545,85.624375,-9.7775556,81,05 42 29.85,-09 46 39.2,14.27,0.03,12.81,0.02,12.12,0.02,11.36,0.01,10.96,0.01,10.41,0.01,9.43,0.01,5.58,0.01,0.7,-0.6,D,2M,Simbad,3011913887256685696,85.62435913003,-9.77756959174,603.46691900,484.54318200,779.59545900,505.82586700,451.85961900,587.86114500,10033
0.258297,85.81275,-9.7729444,84,05 43 15.06,-09 46 22.6,12.92,0.03,11.97,0.03,11.46,0.03,10.67,0.01,,,10.16,0.01,,,6.5,0.02,0.16,,D,2M,Simbad,3011916086281273856,85.81270257074,-9.77299883560,429.29049700,420.57959000,435.76785300,428.12368800,421.49932900,435.49420200,10033
0.361299,85.7005833,-9.77125,85,05 42 48.14,-09 46 16.5,14.99,0.03,13.43,0.02,12.57,0.03,11.87,0.01,11.59,0.01,11.33,0.01,10.96,0.03,5.91,0.02,0.69,-1.79,D,2M,Simbad,3011919002563462016,85.70061648349,-9.77134488352,737.24890100,464.34863300,1108.56006000,1562.90063000,1143.52588000,1945.70386000,10033
0.228322,85.7149583,-9.76425,87,05 42 51.59,-09 45 51.3,14.94,0.04,13.53,0.03,12.84,0.03,11.94,0.01,11.36,0.01,10.65,0.01,9.75,0.01,7.11,0.03,0.63,-0.3,D,2M,Simbad,3011919036923123712,85.71499650030,-9.76430104081,463.67724600,356.63330100,763.76513700,454.11261000,347.64471400,580.24615500,10033
0.326314,85.7184167,-9.7610278,88,05 42 52.42,-09 45 39.7,13.13,0.03,11.61,0.03,10.93,0.02,10.27,0.01,9.91,0.01,9.45,0.01,8.93,0.01,6.42,0.02,0.78,-1.27,D,2M,Simbad,3011919414880219648,85.71847816623,-9.76109522851,478.31558200,441.41272000,520.49768100,480.85940600,446.69079600,525.13629200,10021
0.109269,85.709,-9.7551389,90,05 42 50.16,-09 45 18.5,14.81,0.04,13.36,0.03,12.58,0.02,11.86,0.01,11.62,0.01,11.45,0.05,,,,,0.62,,D,2M,Simbad,3011919419174755200,85.70898673359,-9.75516629207,325.96893300,228.22099300,487.04061900,3227.17554000,2434.36084000,3784.28687000,10033
0.365950,85.69,-9.7523611,92,05 42 45.60,-09 45 08.5,13.05,0.02,11.41,0.02,10.54,0.02,9.53,0.01,9.03,0.01,8.51,0.01,7.81,0.01,4.86,0.02,0.78,-0.86,D,2M,Simbad,3011919105642576512,85.69007362678,-9.75243228923,3177.73608000,2204.51709000,4817.47510000,3157.61475000,2293.15869000,3876.13940000,10012
0.228487,85.6364167,-9.7518333,93,05 42 32.74,-09 45 06.6,13.82,0.03,12.31,0.02,11.46,0.02,10.65,0.01,10.33,0.01,10.03,0.01,9.47,0.01,6.23,0.02,0.64,-1.49,D,2M,Simbad,3011919998995514112,85.63646473796,-9.75187557070,503.41409300,458.82934600,550.15991200,478.91180400,443.99978600,527.04663100,10031
0.255684,85.6775833,-9.7509167,95,05 42 42.62,-09 45 03.3,12.99,0.02,11.2,0.02,10.01,0.02,8.85,0.01,8.35,0.01,7.95,0.01,7.47,0.01,4.39,0.01,0.73,-1.26,D,2M,Simbad,3011919831492728064,85.67759517910,-9.75098675181,543.21160900,499.36532600,595.68847700,529.00433300,479.22613500,571.46417200,10021
0.206064,85.699375,-9.7474722,96,05 42 47.85,-09 44 50.9,14.65,0.04,12.68,0.03,11.63,0.02,10.8,0.01,10.35,0.01,9.91,0.01,9.2,0.01,5.36,0.02,1.09,-1.01,D,2M,Simbad,3011919483599799040,85.69938624479,-9.74752835678,1167.40332000,726.72680700,1754.73804000,3213.78711000,2724.18457000,3954.92700000,20033
0.388462,85.6840417,-9.7469167,97,05 42 44.17,-09 44 48.9,14.0,0.03,12.69,0.02,12.07,0.02,11.14,0.01,10.69,0.01,10.24,0.01,9.55,0.01,6.47,0.02,0.55,-1.01,D,2M,Simbad,3011919861556821632,85.68409065707,-9.74701321753,424.18313600,373.70636000,502.65011600,418.62286400,375.10220300,473.31927500,10033
0.166519,85.7060833,-9.7443611,98,05 42 49.46,-09 44 39.7,14.51,0.04,12.97,0.03,12.15,0.03,11.25,0.01,10.69,0.01,9.98,0.01,8.9,0.01,5.35,0.01,0.7,-0.12,D,2M,Simbad,3011919483599723008,85.70612882404,-9.74437234593,876.72967500,422.70324700,1353.05933000,1298.95667000,868.43853800,1664.69336000,10033
0.283365,85.3187917,-9.7373333,100,05 41 16.51,-09 44 14.4,12.85,0.02,12.08,0.03,11.76,0.03,11.2,0.01,10.83,0.01,10.39,0.01,9.79,0.01,7.9,0.05,0.09,-1.2,D,2M,Simbad,3012104652525600896,85.31882818190,-9.73740331995,433.16976900,419.43255600,449.66037000,431.27838100,417.87371800,446.15560900,10033
0.340766,85.7061667,-9.6449722,102,05 42 49.48,-09 38 41.9,14.52,0.04,13.4,0.04,12.93,0.03,12.49,0.01,12.28,0.01,12.16,0.01,12.01,0.03,6.58,0.02,0.41,-2.3,D,2M,Simbad,3012109939629707776,85.70618693663,-9.64506473093,384.19546500,350.36401400,423.05609100,385.38671900,351.16058300,427.51019300,10033
0.125541,85.2635417,-9.6143611,105,05 41 03.25,-09 36 51.7,10.69,0.03,9.72,0.03,9.1,0.02,8.19,0.01,7.81,0.01,7.46,0.01,6.73,0.01,3.84,0.02,0.13,-1.18,D,2M,Simbad,3012118598282950400,85.26351657952,-9.61438564891,337.93667600,255.56921400,564.01409900,290.40838600,242.06619300,360.14660600,10033
0.247129,85.1727083,-9.6071667,106,05 40 41.45,-09 36 25.8,12.49,0.02,11.67,0.02,11.45,0.02,11.07,0.01,10.89,0.01,10.52,0.01,9.97,0.01,6.82,0.02,0.2,-1.55,D,2M,Simbad,3012121420077840256,85.17267846790,-9.60722872596,433.31662000,428.06329300,440.11761500,432.93331900,428.34390300,439.08038300,10033
0.260535,85.1265,-9.5980833,107,05 40 30.36,-09 35 53.1,13.14,0.02,12.29,0.02,11.9,0.02,11.64,0.01,11.48,0.01,11.28,0.01,11.04,0.01,8.19,0.06,0.13,-2.13,D,2M,Simbad,3012122107272610432,85.12653457882,-9.59814713631,411.65029900,403.56134000,419.65387000,409.40072600,401.11526500,416.05673200,10033
0.408816,85.3900417,-9.5790556,108,05 41 33.61,-09 34 44.6,14.96,0.04,14.21,0.04,13.68,0.05,12.9,0.01,12.5,0.01,12.07,0.02,11.51,0.02,8.33,0.08,0.0,-1.23,D,2M,Simbad,3012119663435650048,85.39007068706,-9.57916550393,460.36203000,387.34991500,559.38922100,470.46871900,392.86908000,569.15850800,10033
