_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
66.93875,23.956667,042745.3+235724,,13.24,,13.15,,13.25,,13.05,>,10.55,>,1.06,,,no,1,[MDM2001] CFHT-BD-Tau 15,III,M8.25,,0.3,<,0.0043,66.9387,23.9567
66.98875,26.321667,042757.3+261918,,9.83,,9.1,,8.28,,7.1,,2.27,,-1.52,,-4.39,yes,2,IRAS 04248+2612,flat,M5.5,,5.8,,0.55,66.9887,26.3217
67.162083,26.859722,042838.9+265135,,15.33,,14.25,,13.45,,12.04,,6.16,,0.57,,-4.28,no,0,NAME LDN 1521F IRS,I,,,,,,67.1621,26.8597
67.1775,27.234167,042842.6+271403,,9.76,,9.53,,9.21,,8.83,,6.21,>,0.88,,,yes,1,2MASS J04284263+2714039,II,M5.25,,3.7,,0.05,67.1775,27.2342
67.2525,27.9175,042900.6+275503,,12.3,,11.99,,11.6,,10.92,,8.06,>,0.88,,,yes,1,2MASS J04290068+2755033,II,M8.25,,0.3,,0.11,67.2525,27.9175
67.270417,26.818611,042904.9+264907,,10.08,,9.4,,8.83,,8.07,,3.6,,0.06,,,yes,1,IRAS04260+2642,I,K6,,9.1,,0.57,67.2704,26.8186
67.33625,26.561111,042920.7+263340,,8.56,,8.55,,8.47,,8.46,,8.29,>,1.04,,,no,1,[HJS91] 507,III,M4,,0.9,<,4.3E-5,67.3362,26.5611
67.34,27.023611,042921.6+270125,,8.06,,7.67,,7.31,,6.69,,3.41,,1.11,,,yes,1,IRAS04263+2654,II,M6.0,,5.9,,0.094,67.34,27.0236
67.34875,24.55,042923.7+243300,<,6.62,<,6.1,<,3.49,<,3.52,<,0.45,<,-2.3,<,-1.49,,1,GV Tau,I,mid-K +emiss,-296.0,11.9,<,0.92,67.3487,24.55
67.37375,26.281389,042929.7+261653,,9.09,,9.01,,8.88,,8.88,,7.52,>,1.07,,,no,1,FW Tau,III,M4,,0.3,,0.0019,67.3737,26.2814
