angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
1.038779,63.609167,28.100833,13,041426.2+280603,IRAS04113+2758 A,<,6.62,,<,6.1,,,4.63,0.05,,3.79,0.05,<,0.45,,,-2.54,0.22,,-4.35,0.34,,,,,,f,1,[CG2010] IRAS 04113+2758(N),,,I,M2.5,,17.1,0.3,,0.5,,63.6092,28.1008,163181308112262400,63.60949060604,28.10079088272,134.60118100,127.93651600,143.91114800,139.14955100,132.37457300,146.64967300,10021
0.781317,63.627083,28.087222,14,041430.5+280514,MHO-3,,7.22,0.05,,6.49,0.05,,5.75,0.05,,4.53,0.05,<,0.45,,,-1.06,0.22,,-4.15,0.34,,,,yes,yes,,1,[BHS98] MHO 3,,embedded,flat,K7,,11.3,0.3,,0.17,,63.6271,28.0872,163178387536338944,63.62731949210,28.08728176737,177.42120400,172.21757500,182.49156200,177.90229800,172.28062400,184.15647900,10022
0.196090,63.697083,26.773889,15,041447.3+264626,FP Tau,,8.11,0.05,,7.86,0.05,,7.6,0.05,,7.27,0.05,,4.25,0.04,,1.22,0.22,,,,yes,yes,yes,yes,yes,,1,FP Tau,yso,class II,II,M4,,0.8,-0.4,,0.083,,63.6971,26.7739,162757545164429696,63.69714187092,26.77390329741,127.25686600,126.87702900,127.68220500,127.23004200,126.65526600,127.63085200,10033
1.023270,63.699167,26.803056,16,041447.8+264811,CX Tau,,8.48,0.05,,8.13,0.05,,7.68,0.05,,6.63,0.05,,3.35,0.04,,1.23,0.22,,,,yes,yes,yes,yes,yes,,1,CX Tau,yso,class II,II,M2.5,,1.4,-0.3,,0.11,,63.6992,26.8031,162758236656524416,63.69946656377,26.80295955509,126.54956800,126.27562700,126.88140100,126.54229000,126.21266200,126.80365800,10033
1.230121,63.705,28.208333,18,041449.2+281230,FO Tau AB,,7.53,0.05,,7.17,0.05,,6.72,0.05,,5.92,0.05,,2.83,0.04,,0.79,0.22,,,,yes,yes,yes,yes,yes,,1,FO Tau,yso,class II,II,M2,,3.7,0.0,,0.094,,63.705,28.2083,163183644576299264,63.70538579748,28.20836726420,135.05140700,132.43447900,139.44154400,134.98672500,130.72099300,139.03883400,10033
0.946588,63.77125,28.146111,19,041505.1+280846,CIDA-2,,8.9,0.05,,8.79,0.05,,8.71,0.05,,8.68,0.05,,8.45,0.11,>,1.31,,,,,,no,no,no,no,,1,[BCG93] 2,yso,star,III,M4.5,,0.6,-0.5,<,8.2E-5,,63.7712,28.1461,163179521407696384,63.77152885601,28.14601782932,132.98048400,131.96913100,133.90373200,133.25404400,132.28121900,134.42237900,10032
0.434601,63.81125,28.0025,20,041514.7+280009,KPNO-1,,13.23,0.13,,12.72,0.22,,12.94,0.09,,12.81,0.1,>,10.61,,>,0.9,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 1,,star,III,M8.5,,1.7,-2.4,,0.013,,63.8112,28.0025,163165738856771200,63.81138655685,28.00249392817,130.88418600,120.65077200,142.46586600,122.87175800,116.69123800,134.22894300,10033
1.519334,63.85,29.178611,21,041524.0+291043,J04152409+2910434,,11.86,0.05,,11.79,0.05,,11.66,0.06,,11.48,0.06,>,10.06,,>,1.14,,,,,,,,no,no,,1,2MASS J04152409+2910434,,star,III,M7,,1.3,-1.9,<,0.0046,,63.85,29.1786,164800820022316800,63.85047896574,29.17866787832,161.21339400,155.09686300,167.14679000,157.21017500,150.27053800,162.66754200,10022
0.257207,64.050417,27.943889,22,041612.1+275638,J04161210+2756385,,9.38,0.05,,9.04,0.05,,8.71,0.05,,8.3,0.05,,5.37,0.04,,1.55,0.22,,,,yes,yes,yes,yes,yes,,1,2MASS J04161210+2756385,yso,class II,II,M4.75,,4.6,-0.9,,0.15,,64.0504,27.9439,164474986623118592,64.05049393378,27.94391103431,133.81272900,132.22920200,135.51571700,133.24278300,131.88945000,135.56968700,10022
0.907239,64.078333,27.870833,23,041618.8+275215,J04161885+2752155,,10.88,0.05,,10.78,0.05,,10.67,0.06,,10.68,0.06,>,9.95,,>,1.26,,,,,,,,no,no,,1,2MASS J04161885+2752155,,star,III,M6.25,,1.1,-1.5,<,0.002,,64.0783,27.8708,164470794735041152,64.07861799962,27.87082705917,134.07962000,131.84895300,136.60888700,,,,10000
