angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.910774,65.10625,27.009722,59,042025.5+270035,J04202555+2700355,,10.99,0.05,,10.77,0.05,,10.44,0.06,,9.74,0.05,,6.13,0.04,,2.49,0.22,,,,yes,yes,yes-faint,yes,yes,,1,2MASS J04202555+2700355,yso,class II,II,M5.25,,2.1,-1.5,,0.14,,65.1062,27.0097,04202555+2700355,65.106477,+27.009874,0.070,0.060,0,12.861,12.006,11.508,0.020,0.025,0.024,AAA,222,0,2450781.7572
1.348389,65.162917,27.291944,60,042039.1+271731,2MASS J04203918+2717317,,9.42,0.05,,9.39,0.05,,9.35,0.05,,9.29,0.05,,8.83,0.1,>,1.5,,,,,,no,no,no,no,,1,2MASS J04203918+2717317,yso,star,III,,,,,,,,65.1629,27.2919,04203918+2717317,65.163269,+27.292150,0.080,0.060,0,10.497,9.863,9.560,0.020,0.025,0.019,AAA,222,0,2450781.7570
0.825296,65.282917,27.038889,61,042107.9+270220,CFHT-19,,7.54,0.05,,6.66,0.05,,6.01,0.05,,5.1,0.05,,1.61,0.04,,-1.18,0.22,<,-3.27,,yes,yes,yes,yes,yes,c,1,[MDM2001] CFHT-BD-Tau 19,yso,class II,I,M5.25,,10.3,-1.0,,0.83,,65.2829,27.0389,04210795+2702204,65.283139,+27.039005,0.070,0.070,90,13.855,12.062,10.543,0.024,0.026,0.021,AAA,222,0,2450781.7622
1.208252,65.292917,27.026944,62,042110.3+270137,IRAS04181+2654B,,9.03,0.05,,8.24,0.05,,7.6,0.05,,6.7,0.05,,2.69,0.04,,-0.47,0.22,<,-3.97,,yes,yes,yes,yes,yes,"b,c",1,NAME IRAS 04181+2654B,yso,class II,I,,,,,,,c,65.2929,27.0269,04211038+2701372,65.293285,+27.027016,0.090,0.090,90,18.890,13.783,11.085,,0.030,0.022,UAA,022,0,2450781.7622
1.004869,65.2975,27.019167,63,042111.4+270109,IRAS04181+2654A,,8.6,0.05,,7.56,0.05,,6.71,0.05,,5.71,0.05,,1.64,0.04,,-1.04,0.22,,-4.21,0.34,yes,yes,yes,yes,yes,b,1,NAME IRAS 04181+2654A,yso,embedded,I,,,,,,,c,65.2975,27.0192,04211146+2701094,65.297787,+27.019279,0.090,0.080,0,16.222,12.647,10.340,0.082,0.024,0.025,AAA,222,0,2450781.7622
1.576207,65.39375,27.027222,64,042134.5+270138,J04213459+2701388,,9.86,0.05,,9.65,0.05,,9.35,0.05,,8.98,0.05,,7.18,0.05,>,1.64,,,,,,yes,yes,yes,yes,,1,2MASS J04213459+2701388,yso,class II,II,M5.5,,2.7,-1.0,,0.029,,65.3937,27.0272,04213459+2701388,65.394164,+27.027458,0.110,0.060,0,11.895,10.965,10.437,0.026,0.027,0.018,AAA,222,0,2450781.7669
0.639094,65.442917,26.991389,65,042146.3+265929,CFHT-10,,11.54,0.05,,11.32,0.05,,11.05,0.06,,10.45,0.06,,7.26,0.05,>,1.45,,,,,,yes,no,yes-faint,yes,,1,[MDM2001] CFHT-BD-Tau 10,yso,class II,II,M6.25,,4.0,-1.7,,0.056,,65.4429,26.9914,04214631+2659296,65.442978,+26.991558,0.120,0.060,0,13.823,12.734,12.134,0.024,0.028,0.020,AAA,222,0,2450781.7669
0.527199,65.477083,26.875278,66,042154.5+265231,J04215450+2652315,,13.22,0.06,,13.12,0.06,,12.9,0.07,,12.8,0.08,,10.5,0.22,>,1.66,,,,,,yes-faint,no,no,no,,1,2MASS J04215450+2652315,not yso,star,II,M8.5,,3.3,-2.4,,0.012,,65.4771,26.8753,04215450+2652315,65.477106,+26.875423,0.260,0.060,0,15.535,14.499,13.904,0.044,0.043,0.041,AAA,222,0,2450781.7718
0.484217,65.481667,27.918333,67,042155.6+275506,DE Tau,,7.07,0.05,,6.73,0.05,,6.4,0.05,,5.78,0.05,,2.58,0.04,,-0.19,0.22,,,,yes,yes,yes,yes,yes,,1,DE Tau,yso,class II,II,M2,,2.2,0.1,,0.13,,65.4817,27.9183,04215563+2755060,65.481818,+27.918350,0.070,0.060,0,9.180,8.273,7.799,0.022,0.018,0.018,AAA,211,0,2450781.7726
0.543637,65.489167,28.443056,68,042157.4+282635,RY Tau,<,6.62,,<,6.1,,,3.6,0.05,<,3.52,,<,0.45,,<,-2.3,,,-4.24,0.34,,,,,,,1,RY Tau,,,II,K1,-16.8,4.8,1.3,,0.1,a,65.4892,28.4431,04215740+2826355,65.489169,+28.443207,0.070,0.060,0,7.155,6.128,5.395,0.019,0.061,0.023,AAA,111,0,2450781.7729
